WKT,HANDLE,PARCEL
"POLYGON ((586616.653147 1025177.68447099998593,586658.24560899997596 1025073.155446,586635.0169369999785 1025063.912677,586593.424475 1025168.44170199998189,586616.653147 1025177.68447099998593))",11113000090,90
"POLYGON ((586439.675 1025430.881,586485.151 1025448.852,586525.476 1025348.202,586479.881 1025330.475,586439.675 1025430.881))",11114000050,50
"POLYGON ((586505.45 1025324.191,586552.355 1025342.427,586593.101 1025236.902,586546.308 1025218.478,586505.45 1025324.191))",11114000100,100
"POLYGON ((586483.003 1025315.464,586505.45 1025324.191,586546.308 1025218.478,586523.856 1025209.638,586495.201 1025283.866,586483.003 1025315.464))",11114000110,110
"POLYGON ((586459.724 1025306.413,586483.003 1025315.464,586495.201 1025283.866,586471.618 1025275.603,586459.724 1025306.413))",11114000130,130
"POLYGON ((586028.239 1025511.08,586001.309 1025577.785,586065.088 1025603.357,586093.831 1025537.012,586028.239 1025511.08))",11116000020,20
"POLYGON ((586065.088 1025603.357,586132.832 1025630.072,586133.235 1025629.056,586159.452 1025562.957,586093.831 1025537.012,586065.088 1025603.357))",11116000030,30
"POLYGON ((586028.239 1025511.08,586093.831 1025537.012,586159.452 1025562.957,586176.64 1025519.62,586045.683 1025467.87,586028.239 1025511.08))",11116000050,50
"POLYGON ((586045.683 1025467.87,586176.64 1025519.62,586181.553 1025507.234,586050.679 1025455.494,586045.683 1025467.87))",11116000060,60
"POLYGON ((586050.679 1025455.494,586181.553 1025507.234,586186.859 1025493.858,586056.032 1025442.234,586050.679 1025455.494))",11116000070,70
"POLYGON ((586056.032 1025442.234,586186.859 1025493.858,586193.136 1025478.031,586171.8 1025469.593,586146.44 1025459.565,586114.286 1025446.85,586087.94 1025436.432,586062.444 1025426.35,586056.032 1025442.234))",11116000080,80
"POLYGON ((586121.84914299997035 1025823.880476,586252.41237399994861 1025874.41009699995629,586261.024875 1025852.0086499999743,586229.316662 1025839.73717099998612,586130.461644 1025801.479029,586121.84914299997035 1025823.880476))",11118000010,10
"POLYGON ((585906.926 1025821.546,585891.602 1025861.63,585892.372 1025862.616,585940.895 1025881.074,585959.119 1025840.519,585906.926 1025821.546))",11119000055,55
"POLYGON ((585906.926 1025821.546,585959.119 1025840.519,586037.883 1025869.141,586046.135 1025848.366,585914.268 1025802.338,585906.926 1025821.546))",11119000070,70
"POLYGON ((585914.268 1025802.338,586046.135 1025848.366,586052.244 1025832.987,586053.912 1025828.789,585967.99 1025797.918,585922.249 1025781.461,585914.268 1025802.338))",11119000080,80
"POLYGON ((585967.99 1025797.918,586053.912 1025828.789,586063.723 1025804.091,585978.967 1025774.685,585967.99 1025797.918))",11119000090,90
"POLYGON ((585864.969 1025992.569,585935.15 1026015.022,585958.301 1025955.02,585887.768 1025933.629,585864.969 1025992.569))",11120000150,150
"POLYGON ((585864.969 1025992.569,585887.768 1025933.629,585866.938 1025927.312,585844.787 1025986.112,585864.969 1025992.569))",11120000200,200
"POLYGON ((585827.412 1026031.887,585791.02 1026128.17,585918.811 1026172.217,585919.588 1026170.297,585921.138 1026166.293,585956.055 1026076.098,585827.412 1026031.887))",11120000240,240
"POLYGON ((585827.412 1026031.887,585956.055 1026076.098,585969.243 1026042.031,585839.581 1025999.692,585827.412 1026031.887))",11120000250,250
"POLYGON ((586579.672 1026312.364,586629.729 1026329.753,586659.74 1026254.662,586667.244 1026235.138,586617.98 1026215.61,586579.672 1026312.364))",11122000130,130
"POLYGON ((586807.495 1026469.761,586854.214 1026485.739,586944.096 1026516.45,586951.785 1026497.113,586815.218 1026450.425,586807.495 1026469.761))",11126000110,110
"POLYGON ((586815.218 1026450.425,586951.785 1026497.113,586960.915 1026474.152,586824.388 1026427.467,586815.218 1026450.425))",11126000120,120
"POLYGON ((586711.791 1026791.319,586685.322 1026798.288,586685.808 1026800.218,586700.607 1026857.38,586725.818 1026953.917,586752.136 1026946.799,586711.791 1026791.319))",11128000010,10
"POLYGON ((586711.791 1026791.319,586752.136 1026946.799,586765.966 1026943.058,586746.232 1026866.904,586725.69 1026787.66,586711.791 1026791.319))",11128000020,20
"POLYGON ((586725.69 1026787.66,586746.232 1026866.904,586781.692 1026857.12,586761.243 1026778.301,586725.69 1026787.66))",11128000030,30
"POLYGON ((586746.232 1026866.904,586765.966 1026943.058,586780.008 1026939.26,586801.492 1026933.449,586781.692 1026857.12,586746.232 1026866.904))",11128000035,35
"POLYGON ((586805.458 1026850.528,586825.292 1026927.011,586839.197 1026923.25,586816.916 1026846.559,586805.458 1026850.528))",11128000050,50
"POLYGON ((586816.916 1026846.559,586839.197 1026923.25,586855.813 1026918.756,586828.729 1026843.495,586816.916 1026846.559))",11128000060,60
"POLYGON ((586828.729 1026843.495,586855.813 1026918.756,586872.776 1026914.167,586852.83 1026837.244,586828.729 1026843.495))",11128000070,70
"POLYGON ((586785.098 1026772.021,586805.458 1026850.528,586816.916 1026846.559,586798.662 1026768.45,586785.098 1026772.021))",11128000080,80
"POLYGON ((586798.662 1026768.45,586816.916 1026846.559,586828.729 1026843.495,586852.83 1026837.244,586832.5 1026759.542,586798.662 1026768.45))",11128000090,90
"POLYGON ((586872.971 1026641.245,586893.747 1026728.937,586924.85 1026720.382,586916.253 1026687.147,586906.503 1026650.884,586872.971 1026641.245))",11128000130,130
"POLYGON ((586780.722 1026614.727,586812.904 1026750.274,586852.398 1026739.85,586826.795 1026627.971,586780.722 1026614.727))",11128000150,150
"POLYGON ((586571.818 1026899.257,586575.82 1026914.211,586648.377 1026895.029,586644.82 1026881.29,586644.117 1026878.574,586571.818 1026899.257))",11129000090,90
"POLYGON ((586566.976 1026881.166,586571.818 1026899.257,586644.117 1026878.574,586639.913 1026862.337,586566.976 1026881.166))",11129000100,100
"POLYGON ((586559.313 1026852.535,586566.976 1026881.166,586639.913 1026862.337,586632.485 1026833.645,586559.313 1026852.535))",11129000105,105
"POLYGON ((586554.041 1026832.821,586559.313 1026852.535,586632.485 1026833.645,586627.588 1026814.73,586627.268 1026813.495,586554.041 1026832.821))",11129000106,106
"POLYGON ((586236.089516 1026549.652358,586211.711937 1026456.282215,586180.153973 1026446.841951,586111.91000899998471 1026465.240324,586140.6663699999917 1026575.37815899995621,586236.089516 1026549.652358))",11132030080,80
"POLYGON ((586093.3554909999948 1026588.133033,586064.598676 1026477.99532099999487,586017.28734299994539 1026490.75031799997669,586046.04461199999787 1026600.887908,586093.3554909999948 1026588.133033))",11132030100,100
"POLYGON ((585959.797106 1026454.464322,585983.93527899996843 1026447.95674199995119,585968.117738 1026389.285702,585940.132513 1026381.52364499995019,585959.797106 1026454.464322))",11133030170,170
"POLYGON ((586083.18179099995177 1026421.20017199998256,585968.117738 1026389.285702,585983.93527899996843 1026447.95674199995119,586083.18179099995177 1026421.20017199998256))",11133030180,180
"POLYGON ((585089.194 1026437.118,585114.879 1026545.562,585151.429 1026535.875,585125.752 1026427.27,585089.194 1026437.118))",11134040100,100
"POLYGON ((585532.39296299999114 1026734.795929,585502.71043199999258 1026624.9040899999673,585479.058055 1026631.29275699995924,585508.740587 1026741.184596,585532.39296299999114 1026734.795929))",11135030200,200
"POLYGON ((585268.610265 1027258.05708299996331,585247.19726199994329 1027176.36495499999728,585223.059336 1027182.793074,585244.445852 1027264.42817199998535,585268.610265 1027258.05708299996331))",11136000010,10
"POLYGON ((585287.416268 1027329.8033239999786,585268.610265 1027258.05708299996331,585244.445852 1027264.42817199998535,585263.2423659999622 1027336.17689899995457,585287.416268 1027329.8033239999786))",11136000020,20
"POLYGON ((585330.77457799995318 1027318.37167899997439,585298.891821 1027196.7380369999446,585301.31023399997503 1027196.104119,585292.94290799996816 1027164.1825299999909,585271.355293 1027169.931482,585311.5901699999813 1027323.429749,585330.77457799995318 1027318.37167899997439))",11136000040,40
"POLYGON ((585350.268413 1027313.232028,585310.008141 1027159.637924,585292.94290799996816 1027164.1825299999909,585301.31023399997503 1027196.104119,585298.891821 1027196.7380369999446,585330.77457799995318 1027318.37167899997439,585350.268413 1027313.232028))",11136000050,50
