WKT,HANDLE,PARCEL,PARCELID
"POLYGON ((-90.186591218113747 38.642456387009226,-90.186682985390334 38.642195693974713,-90.186821550644069 38.642225106783727,-90.186729702969643 38.642486033241553,-90.186591218113747 38.642456387009226))",10654000120,120,6540001200
"POLYGON ((-90.188049246444066 38.644912038297491,-90.188073898856601 38.644999263129215,-90.187986058106461 38.645014883087853,-90.187747004794261 38.645057389901012,-90.187720151409692 38.644967514765938,-90.188049246444066 38.644912038297491))",10657000160,160,6570001600
"POLYGON ((-90.187810361333916 38.65606924546681,-90.187495199459946 38.656165345160638,-90.187517423861578 38.656118803370624,-90.187537498413448 38.656071664743003,-90.187555397127539 38.6560239903122,-90.187571096833253 38.655975841806288,-90.187584577207289 38.65592728156706,-90.187595820800098 38.65587837246926,-90.187604813058272 38.655829177839223,-90.187611542343546 38.655779761372834,-90.187615999947681 38.655730187053081,-90.187618180103826 38.655680519067232,-90.187810361333916 38.65606924546681))",10665030050,50,6650300500
"POLYGON ((-90.20389604491244 38.605608181104955,-90.203913113645967 38.605584209585004,-90.204128224408592 38.605675997138462,-90.204111157802956 38.605699969603798,-90.20389604491244 38.605608181104955))",10779000070,70,7790000700
"POLYGON ((-90.208476981270664 38.604900191302825,-90.208453627469112 38.604951962522094,-90.208212319074946 38.604885135481609,-90.208235673027644 38.604833364310501,-90.208476981270664 38.604900191302825))",10798000070,70,7980000700
"POLYGON ((-90.208453627469112 38.604951962522094,-90.208430273633809 38.605003733736105,-90.208188965088496 38.604936906644696,-90.208212319074946 38.604885135481609,-90.208453627469112 38.604951962522094))",10798000080,80,7980000800
"POLYGON ((-90.213526286288541 38.637912667643334,-90.213651588358317 38.637533594577214,-90.213736437735847 38.637550439856874,-90.213610978904384 38.637929992764718,-90.213526286288541 38.637912667643334))",10932000100,100,9320001000
"POLYGON ((-90.214407052484987 38.643389837146287,-90.214348858686904 38.643390328818512,-90.214347288699159 38.643073067103998,-90.21440551887018 38.643072169121901,-90.214407052484987 38.643389837146287))",10975000230,230,9750002300
"POLYGON ((-90.218120010158145 38.637490138350643,-90.218006986839299 38.637826968027504,-90.217883426353879 38.637799769674736,-90.21799626632162 38.637463406483327,-90.218120010158145 38.637490138350643))",10995000060,60,9950000600
"POLYGON ((-90.218046847995438 38.638063638579879,-90.217924656339108 38.638406138299615,-90.217852389772887 38.638391234096375,-90.217974080911603 38.638047890235413,-90.218030430673906 38.638060295483378,-90.218046847995438 38.638063638579879))",10996000230,230,9960002300
"POLYGON ((-90.223694214106501 38.63768271475054,-90.223572494086028 38.638032624617516,-90.223496155047215 38.638016797090977,-90.223616928330529 38.637666445706088,-90.22368513276885 38.637680804004823,-90.223694214106501 38.63768271475054))",11023040040,40,10230400400
